eval_mean_reward,eval_std_reward,eval_score,timesteps_done,learning_rate,lr_end,ent_coef,ent_coef_end,schedule_flat_until,vf_coef,target_kl,clip_range,max_grad_norm,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
295.13373170000006,10.263534727257369,284.8701969727427,3833856,0.0002,5e-05,0.01,0.002,0.25,0.5,0.03,0.2,0.5,1775765906,checkpoint_000017,True,False,18,1e06f_00000,2026-04-09_20-18-26,192.80322408676147,7273.864494562149,148857,1a721592e356,172.17.0.2,461.78798270225525,2
284.64165119999996,16.89447400661194,267.74717719338804,4046848,0.0002,5e-05,0.01,0.002,0.25,0.5,0.03,0.2,0.5,1775766071,checkpoint_000018,True,False,19,1e06f_00000,2026-04-09_20-21-11,164.07740807533264,7437.941902637482,148857,1a721592e356,172.17.0.2,625.8653907775879,3
291.6319264,16.650522035705137,274.98140436429486,4259840,0.0002,5e-05,0.01,0.002,0.25,0.5,0.03,0.2,0.5,1775766288,checkpoint_000019,True,False,20,1e06f_00000,2026-04-09_20-24-48,217.8950228691101,7655.836925506592,148857,1a721592e356,172.17.0.2,843.760413646698,4
284.71040370000003,16.91738000252924,267.7930236974708,4472832,0.0002,5e-05,0.01,0.002,0.25,0.5,0.03,0.2,0.5,1775766527,checkpoint_000020,True,False,21,1e06f_00000,2026-04-09_20-28-47,238.5153238773346,7894.352249383926,148857,1a721592e356,172.17.0.2,1082.2757375240326,5
288.3367682,24.14543839807832,264.19132980192165,4685824,0.0002,5e-05,0.01,0.002,0.25,0.5,0.03,0.2,0.5,1775766806,checkpoint_000021,True,False,22,1e06f_00000,2026-04-09_20-33-26,279.357305765152,8173.709555149078,148857,1a721592e356,172.17.0.2,1361.6330432891846,6
299.8286214,17.413498416524618,282.4151229834754,4898816,0.0002,5e-05,0.01,0.002,0.25,0.5,0.03,0.2,0.5,1775767120,checkpoint_000022,True,False,23,1e06f_00000,2026-04-09_20-38-40,313.04263043403625,8486.752185583115,148857,1a721592e356,172.17.0.2,1674.6756737232208,7
291.34560700000003,19.504332600200307,271.8412743997997,5111808,0.0002,5e-05,0.01,0.002,0.25,0.5,0.03,0.2,0.5,1775767441,checkpoint_000023,True,False,24,1e06f_00000,2026-04-09_20-44-01,321.54043316841125,8808.292618751526,148857,1a721592e356,172.17.0.2,1996.216106891632,8
285.16254769999995,11.640053774885146,273.5224939251148,5324800,0.0002,5e-05,0.01,0.002,0.25,0.5,0.03,0.2,0.5,1775767694,checkpoint_000024,True,False,25,1e06f_00000,2026-04-09_20-48-14,252.7917594909668,9061.084378242493,148857,1a721592e356,172.17.0.2,2249.007866382599,9
289.5011737,7.627900785294996,281.873272914705,5537792,0.0002,5e-05,0.01,0.002,0.25,0.5,0.03,0.2,0.5,1775767885,checkpoint_000025,True,False,26,1e06f_00000,2026-04-09_20-51-25,190.92491483688354,9252.009293079376,148857,1a721592e356,172.17.0.2,2439.9327812194824,10
287.8116788,20.217069693634105,267.59460910636585,5750784,0.0002,5e-05,0.01,0.002,0.25,0.5,0.03,0.2,0.5,1775768056,checkpoint_000026,True,False,27,1e06f_00000,2026-04-09_20-54-16,171.2887032032013,9423.297996282578,148857,1a721592e356,172.17.0.2,2611.2214844226837,11
284.06062039999995,20.13400053527442,263.9266198647255,5963776,0.0002,5e-05,0.01,0.002,0.25,0.5,0.03,0.2,0.5,1775768227,checkpoint_000027,True,False,28,1e06f_00000,2026-04-09_20-57-07,171.09874153137207,9594.39673781395,148857,1a721592e356,172.17.0.2,2782.320225954056,12
291.9992544,17.501094022540805,274.49816037745916,6176768,0.0002,5e-05,0.01,0.002,0.25,0.5,0.03,0.2,0.5,1775768471,checkpoint_000030,True,False,29,1e06f_00000,2026-04-09_21-01-11,236.83294034004211,9831.229678153992,162291,1a721592e356,172.17.0.2,236.83294034004211,1
281.32897360000004,24.260422962428,257.06855063757206,6389760,0.0002,5e-05,0.01,0.002,0.25,0.5,0.03,0.2,0.5,1775768690,checkpoint_000031,True,False,30,1e06f_00000,2026-04-09_21-04-50,218.47733807563782,10049.70701622963,162291,1a721592e356,172.17.0.2,455.31027841567993,2
283.24953160000007,18.899646919708747,264.3498846802913,5324800,0.000288,0.0001,0.01096879556751861,0.002,0.33,0.7,0.05,0.2,0.7,1775769022,checkpoint_000031,True,False,25,1e06f_00000,2026-04-09_21-10-22,326.3163595199585,9113.309211969376,165432,1a721592e356,172.17.0.2,326.3163595199585,1
281.0144017,11.629137158513945,269.38526454148604,5537792,0.000288,0.0001,0.01096879556751861,0.002,0.33,0.7,0.05,0.2,0.7,1775769305,checkpoint_000032,True,False,26,1e06f_00000,2026-04-09_21-15-05,282.6513981819153,9395.96061015129,165432,1a721592e356,172.17.0.2,608.9677577018738,2
283.1048836,18.741182727526336,264.36370087247366,5750784,0.000288,0.0001,0.01096879556751861,0.002,0.33,0.7,0.05,0.2,0.7,1775769597,checkpoint_000033,True,False,27,1e06f_00000,2026-04-09_21-19-57,291.6062681674957,9687.566878318787,165432,1a721592e356,172.17.0.2,900.5740258693695,3
293.22308439999995,16.939158368790952,276.283926031209,5963776,0.000288,0.0001,0.01096879556751861,0.002,0.33,0.7,0.05,0.2,0.7,1775769882,checkpoint_000034,True,False,28,1e06f_00000,2026-04-09_21-24-42,284.8342978954315,9972.401176214218,165432,1a721592e356,172.17.0.2,1185.408323764801,4
287.5658065,18.931067984372753,268.63473851562725,6176768,0.000288,0.0001,0.01096879556751861,0.002,0.33,0.7,0.05,0.2,0.7,1775770098,checkpoint_000035,True,False,29,1e06f_00000,2026-04-09_21-28-18,208.05300283432007,10180.454179048538,171919,1a721592e356,172.17.0.2,208.05300283432007,1
277.0086063,14.483508528203863,262.52509777179614,6389760,0.000288,0.0001,0.01096879556751861,0.002,0.33,0.7,0.05,0.2,0.7,1775770280,checkpoint_000036,True,False,30,1e06f_00000,2026-04-09_21-31-20,182.22923851013184,10362.68341755867,171919,1a721592e356,172.17.0.2,390.2822413444519,2
305.69235979999996,15.179933871269101,290.51242592873086,6176768,0.00012800000000000002,7.5e-05,0.0064,0.002,0.2,0.5,0.04,0.2,0.7,1775770466,checkpoint_000036,True,False,29,1e06f_00000,2026-04-09_21-34-26,179.59724688529968,11277.375710487366,174625,1a721592e356,172.17.0.2,179.59724688529968,1
287.0755608,18.41537657463521,268.6601842253648,6389760,0.00012800000000000002,7.5e-05,0.0064,0.002,0.2,0.5,0.04,0.2,0.7,1775770657,checkpoint_000037,True,False,30,1e06f_00000,2026-04-09_21-37-37,190.96428608894348,11468.33999657631,174625,1a721592e356,172.17.0.2,370.56153297424316,2
296.62269019999997,12.773240470898777,283.8494497291012,6602752,0.00012800000000000002,7.5e-05,0.0064,0.002,0.2,0.5,0.04,0.2,0.7,1775771081,checkpoint_000038,True,False,31,1e06f_00000,2026-04-09_21-44-41,371.40833139419556,11839.748327970505,177093,1a721592e356,172.17.0.2,371.40833139419556,1
281.7536501,16.265933733182123,265.4877163668179,6815744,0.00012800000000000002,7.5e-05,0.0064,0.002,0.2,0.5,0.04,0.2,0.7,1775771243,checkpoint_000039,True,False,32,1e06f_00000,2026-04-09_21-47-23,162.2749412059784,12002.023269176483,177093,1a721592e356,172.17.0.2,533.683272600174,2
287.7409918999999,14.548002039821863,273.19298986017805,5750784,0.00018432000000000002,0.0001,0.009216,0.003,0.2,0.5,0.02,0.15,0.5,1775771393,checkpoint_000038,True,False,27,1e06f_00000,2026-04-09_21-49-53,144.79146265983582,10631.062378168106,182087,1a721592e356,172.17.0.2,144.79146265983582,1
287.9958282,14.669753424287473,273.3260747757125,5963776,0.00018432000000000002,0.0001,0.009216,0.003,0.2,0.5,0.02,0.15,0.5,1775771507,checkpoint_000039,True,False,28,1e06f_00000,2026-04-09_21-51-47,113.9733018875122,10745.035680055618,182087,1a721592e356,172.17.0.2,258.764764547348,2
295.6894648,14.716735320956289,280.9727294790437,6176768,0.00018432000000000002,0.0001,0.009216,0.003,0.2,0.5,0.02,0.15,0.5,1775771616,checkpoint_000040,True,False,29,1e06f_00000,2026-04-09_21-53-36,109.24439859390259,10854.28007864952,182087,1a721592e356,172.17.0.2,368.0091631412506,3
292.0471015,19.591268733853614,272.4558327661464,6389760,0.00018432000000000002,0.0001,0.009216,0.003,0.2,0.5,0.02,0.15,0.5,1775771742,checkpoint_000041,True,False,30,1e06f_00000,2026-04-09_21-55-42,125.47914600372314,10979.759224653244,182087,1a721592e356,172.17.0.2,493.48830914497375,4
283.0544887,11.855103815318758,271.1993848846812,6602752,0.00018432000000000002,0.0001,0.009216,0.003,0.2,0.5,0.02,0.15,0.5,1775771861,checkpoint_000042,True,False,31,1e06f_00000,2026-04-09_21-57-41,119.0415780544281,11098.800802707672,182087,1a721592e356,172.17.0.2,612.5298871994019,5
294.29187010000004,17.456110189216744,276.8357599107833,6815744,0.00018432000000000002,0.0001,0.009216,0.003,0.2,0.5,0.02,0.15,0.5,1775771981,checkpoint_000043,True,False,32,1e06f_00000,2026-04-09_21-59-41,120.49828696250916,11219.299089670181,182087,1a721592e356,172.17.0.2,733.028174161911,6
