trial_id,max_eval_score,max_eval_mean_reward,last_timesteps_done,rows
1e06f_00012,293.7662036266891,301.36678969999997,8011776.0,20
1e06f_00015,292.8482787918083,304.73061700000005,8011776.0,31
1e06f_00000,290.51242592873086,305.69235979999996,6815744.0,44
1e06f_00003,289.42552500675185,302.0767795,7454720.0,34
1e06f_00004,287.9553341170397,300.8064362,8011776.0,34
1e06f_00008,284.3061262106733,294.43898260000003,5111808.0,8
1e06f_00010,284.1388411563154,298.18116449999997,5963776.0,37
1e06f_00001,283.82232493010724,295.3519529,4259840.0,20
1e06f_00013,283.0984896846667,294.9822536,5537792.0,12
1e06f_00009,279.44842964209573,295.27688989999996,4472832.0,21
1e06f_00011,278.9663556859017,295.2950915,8011776.0,42
1e06f_00002,278.7273249208324,292.6802591,5537792.0,10
1e06f_00005,277.60814806110267,294.2455284,5537792.0,26
1e06f_00007,275.6283023716728,295.813542,4259840.0,10
1e06f_00014,275.0371862071344,293.0716584,3407872.0,16
1e06f_00006,264.46137624410073,286.1327464,1703936.0,8
